DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL,LOCALITZACIO,LATITUD,LONGITUD
15/03/2014,24,Osona,83036,Vilanova de Sau,0.0,0.05,0.0,0.05,"Vilanova de Sau, Osona, Catalunya",41.9476741,2.383405
16/03/2014,10,Baix Empordà,179026,Forallac,371.96,4.76,1.57,376.72,"Forallac, Baix Empordà, Catalunya",41.9405813,3.0817246
16/03/2014,11,Baix Llobregat,82042,Sant Climent de Llobregat,0.0,0.1,0.0,0.1,"Sant Climent de Llobregat, Baix Llobregat, Catalunya",41.3366993,1.9970575
16/03/2014,2,Alt Empordà,170329,Cadaqués,0.0,0.25,0.0,0.25,"Cadaqués, Alt Empordà, Catalunya",42.2893484,3.2752159
16/03/2014,10,Baix Empordà,172327,Vilopriu,0.1,0.0,0.0,0.1,"Vilopriu, Baix Empordà, Catalunya",42.1043198,2.9918548
17/03/2014,7,Bages,82423,Marganell,0.1,0.13,0.0,0.23,"Marganell, Bages, Catalunya",41.640666,1.7900194
17/03/2014,8,Baix Camp,431270,Riudecanyes,0.0,0.3,0.0,0.3,"Riudecanyes, Baix Camp, Catalunya",41.1303686,0.9603867
17/03/2014,14,Berguedà,81424,"Nou de Berguedà, la",0.0,0.6,0.0,0.6,"Nou de Berguedà, la, Berguedà, Catalunya",42.1861155,1.8850141
17/03/2014,2,Alt Empordà,170545,Colera,0.0,0.61,0.0,0.61,"Colera, Alt Empordà, Catalunya",42.4036867,3.1489254
17/03/2014,39,Aran,251214,Les,0.0,14.0,0.0,14.0,"Les, Aran, Catalunya",42.8126854,0.7118311
18/03/2014,7,Bages,80983,Sant Salvador de Guardiola,0.0,0.0,0.0,0.0,"Sant Salvador de Guardiola, Bages, Catalunya",41.6797988,1.7671087
18/03/2014,33,Segrià,251207,Lleida,0.2,0.0,0.0,0.2,"Lleida, Segrià, Catalunya",41.6147605,0.6267842
19/03/2014,14,Berguedà,80996,Guardiola de Berguedà,0.06,0.0,0.0,0.06,"Guardiola de Berguedà, Berguedà, Catalunya",42.2338584,1.8792389
20/03/2014,22,Montsià,430770,Mas de Barberans,0.0,0.04,0.0,0.04,"Mas de Barberans, Montsià, Catalunya",40.7345687,0.3727136
22/03/2014,14,Berguedà,80497,Casserres,0.0,0.0,0.0,0.0,"Casserres, Berguedà, Catalunya",42.0138199,1.843045
22/03/2014,16,Conca de Barberà,431476,Solivella,0.1,0.81,0.0,0.91,"Solivella, Conca de Barberà, Catalunya",41.4551755,1.1767773
22/03/2014,34,Selva,170078,Amer,0.0,0.0,0.0,0.0,"Amer, Selva, Catalunya",42.0092186,2.6030327
23/03/2014,11,Baix Llobregat,80667,Castellví de Rosanes,0.0,0.01,0.0,0.01,"Castellví de Rosanes, Baix Llobregat, Catalunya",41.450038,1.8994527
23/03/2014,33,Segrià,251023,"Granja d'Escarp, la",0.1,0.2,0.0,0.3,"Granja d'Escarp, la, Segrià, Catalunya",41.4187382,0.3475385
